id,salarie_id,date_debut,date_fin,csp,service,type_contrat,temps_travail,taux_horaire
1,1,2016-10-18,2018-02-10,Cadre,Commercial,CDD,Temps plein,17.34
2,1,2018-02-11,2018-12-08,Cadre,Commercial,CDI,Temps plein,27.04
3,1,2018-12-09,,Cadre,IT,CDI,Temps plein,22.61
4,2,2018-09-24,,Employé,IT,CDI,Temps plein,26.57
5,3,2021-08-14,,Cadre,Direction,CDI,Temps plein,22.72
6,4,2024-12-14,,Employé,Finance,CDD,Temps plein,19.06
7,5,2022-07-03,2023-01-29,Employé,Finance,CDD,Temps plein,23.6
8,5,2023-01-30,2024-04-24,Employé,IT,CDD,Temps partiel,22.28
9,5,2024-04-25,,Employé,Production,CDI,Temps plein,15.37
10,6,2023-06-23,,Cadre,Direction,CDI,Temps partiel,13.83
11,7,2023-07-06,2024-08-29,Cadre,RH,CDD,Temps plein,15.55
12,7,2024-08-30,,Cadre,Production,CDI,Temps plein,27.58
13,8,2023-06-24,,Agent de maîtrise,RH,CDD,Temps plein,27.56
14,9,2026-05-31,,Cadre,Production,CDI,Temps plein,15.36
15,10,2018-11-09,,Employé,Finance,CDI,Temps partiel,28.03
16,11,2017-05-27,2018-11-18,Employé,Direction,CDD,Temps plein,14.83
17,11,2018-11-19,,Employé,Direction,CDD,Temps plein,24.05
18,12,2021-07-03,,Agent de maîtrise,RH,CDD,Temps plein,33.87
19,13,2018-12-21,,Employé,Production,CDI,Temps plein,13.66
20,14,2022-06-12,,Agent de maîtrise,IT,CDI,Temps plein,27.18
21,15,2021-06-25,2022-11-17,Employé,Commercial,CDD,Temps plein,30.59
22,15,2022-11-18,2024-04-11,Agent de maîtrise,Finance,CDI,Temps plein,17.37
23,15,2024-04-12,,Agent de maîtrise,Commercial,CDI,Temps plein,30.0
24,16,2025-05-27,,Employé,RH,CDI,Temps plein,31.19
25,17,2025-06-09,,Agent de maîtrise,IT,CDI,Temps plein,29.87
26,18,2025-10-10,,Cadre,RH,CDI,Temps plein,15.08
27,19,2024-12-18,2025-07-16,Agent de maîtrise,Production,CDD,Temps plein,23.81
28,19,2025-07-17,2026-05-13,Cadre,Finance,CDI,Temps plein,23.75
29,19,2026-05-14,,Cadre,RH,CDI,Temps partiel,30.76
30,20,2024-03-01,,Employé,Production,CDI,Temps plein,20.81
31,21,2020-08-08,,Employé,Commercial,CDI,Temps plein,26.91
32,22,2023-03-30,2023-11-25,Employé,IT,CDD,Temps plein,22.73
33,22,2023-11-26,2024-05-24,Employé,Direction,CDI,Temps plein,15.34
34,22,2024-05-25,,Employé,Commercial,CDI,Temps plein,29.83
35,23,2020-02-24,,Employé,Production,CDI,Temps plein,22.45
36,24,2018-06-29,,Employé,Direction,CDI,Temps plein,25.18
37,25,2020-03-30,2021-06-23,Employé,Production,CDD,Temps plein,27.24
38,25,2021-06-24,2022-08-18,Employé,IT,CDI,Temps plein,23.61
39,25,2022-08-19,,Employé,Direction,CDI,Temps plein,22.75
40,26,2019-06-21,,Employé,Commercial,CDI,Temps plein,13.44
41,27,2024-04-30,,Agent de maîtrise,Production,CDI,Temps plein,19.57
42,28,2016-11-03,,Employé,Direction,CDI,Temps plein,27.71
43,29,2024-08-04,,Employé,Production,CDD,Temps plein,33.7
44,30,2024-04-25,,Employé,IT,CDD,Temps plein,33.46
45,31,2023-05-10,,Cadre,RH,CDI,Temps plein,26.84
46,32,2022-12-14,,Agent de maîtrise,RH,CDI,Temps plein,14.76
47,33,2023-05-04,,Employé,Commercial,CDI,Temps partiel,19.72
48,34,2018-07-30,,Employé,Direction,CDI,Temps plein,30.4
49,35,2024-09-26,,Employé,Production,CDI,Temps plein,18.67
50,36,2020-04-19,2021-04-14,Agent de maîtrise,Finance,CDD,Temps plein,22.14
51,36,2021-04-15,2021-10-12,Agent de maîtrise,Direction,CDD,Temps plein,21.94
52,36,2021-10-13,,Agent de maîtrise,RH,CDD,Temps plein,26.62
53,37,2023-02-09,,Agent de maîtrise,Direction,CDD,Temps plein,31.5
54,38,2019-03-04,,Employé,Finance,CDD,Temps plein,20.35
55,39,2023-10-28,,Employé,Finance,CDD,Temps plein,20.46
56,40,2016-08-18,,Agent de maîtrise,Commercial,CDI,Temps plein,26.9
57,41,2022-09-16,,Employé,Production,CDD,Temps plein,33.0
58,42,2025-05-20,,Employé,Finance,CDI,Temps partiel,18.48
59,43,2020-12-17,2022-05-11,Employé,Direction,CDD,Temps plein,13.91
60,43,2022-05-12,,Employé,IT,CDD,Temps plein,28.28
61,44,2025-03-03,,Cadre,Direction,CDI,Temps plein,33.32
62,45,2022-10-28,2023-07-25,Employé,Finance,CDD,Temps plein,17.35
63,45,2023-07-26,2024-01-22,Agent de maîtrise,Commercial,CDI,Temps plein,34.61
64,45,2024-01-23,,Agent de maîtrise,Direction,CDI,Temps plein,19.03
65,46,2020-12-04,,Agent de maîtrise,RH,CDI,Temps plein,13.59
66,47,2021-05-19,,Employé,IT,CDI,Temps plein,32.18
67,48,2019-11-28,,Employé,Production,CDI,Temps plein,32.94
68,49,2025-06-28,,Agent de maîtrise,Commercial,CDI,Temps plein,33.49
69,50,2022-10-21,,Cadre,Direction,CDI,Temps plein,17.67
70,51,2019-08-19,,Employé,Direction,CDI,Temps plein,14.04
71,52,2024-10-30,2026-01-23,Agent de maîtrise,Production,CDD,Temps plein,33.24
72,52,2026-01-24,,Agent de maîtrise,IT,CDI,Temps plein,26.71
73,53,2020-11-28,,Employé,Direction,CDI,Temps plein,12.58
74,54,2018-04-28,,Agent de maîtrise,Finance,CDI,Temps plein,30.55
75,55,2017-05-23,,Employé,Commercial,CDD,Temps plein,23.08
76,56,2018-08-16,,Employé,RH,CDI,Temps plein,34.72
77,57,2021-12-30,,Employé,Finance,CDI,Temps plein,19.26
78,58,2019-01-03,2019-10-30,Employé,Finance,CDD,Temps partiel,31.86
79,58,2019-10-31,2020-07-27,Employé,Direction,CDD,Temps plein,33.47
80,58,2020-07-28,,Agent de maîtrise,Finance,CDD,Temps plein,23.78
81,59,2022-01-14,,Employé,Commercial,CDD,Temps plein,22.45
82,60,2020-05-29,2021-08-22,Employé,Finance,CDD,Temps partiel,27.01
83,60,2021-08-23,2022-06-19,Employé,Direction,CDD,Temps plein,32.28
84,60,2022-06-20,,Agent de maîtrise,IT,CDI,Temps plein,13.06
85,61,2025-01-27,2026-07-21,Agent de maîtrise,IT,CDD,Temps plein,30.96
86,61,2026-07-22,2027-11-14,Agent de maîtrise,RH,CDI,Temps plein,20.51
87,61,2027-11-15,,Employé,Commercial,CDI,Temps plein,20.33
88,62,2020-05-12,2021-01-07,Employé,IT,CDD,Temps plein,30.47
89,62,2021-01-08,2022-02-02,Agent de maîtrise,RH,CDD,Temps plein,33.41
90,62,2022-02-03,,Cadre,RH,CDD,Temps plein,18.8
91,63,2026-05-17,,Agent de maîtrise,Production,CDI,Temps plein,22.86
92,64,2021-12-12,,Agent de maîtrise,Direction,CDI,Temps plein,30.3
93,65,2017-10-12,,Agent de maîtrise,IT,CDI,Temps plein,27.04
94,66,2025-05-06,,Agent de maîtrise,IT,CDI,Temps plein,26.42
95,67,2018-04-05,,Employé,Direction,CDI,Temps plein,25.12
96,68,2022-05-01,2023-04-26,Employé,IT,CDD,Temps plein,21.37
97,68,2023-04-27,,Employé,Commercial,CDD,Temps plein,13.32
98,69,2025-11-13,,Agent de maîtrise,Commercial,CDI,Temps plein,20.59
99,70,2023-09-11,,Agent de maîtrise,Direction,CDI,Temps plein,31.94
100,71,2020-02-16,,Agent de maîtrise,IT,CDI,Temps plein,17.58
101,72,2020-07-05,,Cadre,Direction,CDI,Temps plein,28.18
102,73,2017-08-02,,Employé,RH,CDI,Temps partiel,30.27
103,74,2023-04-02,,Agent de maîtrise,RH,CDI,Temps partiel,21.0
104,75,2024-10-04,,Cadre,RH,CDI,Temps plein,28.39
105,76,2025-07-31,,Agent de maîtrise,RH,CDI,Temps plein,31.02
106,77,2019-12-08,,Agent de maîtrise,Commercial,CDD,Temps plein,25.45
107,78,2020-01-27,2021-01-21,Employé,Direction,CDD,Temps plein,22.8
108,78,2021-01-22,,Employé,Finance,CDI,Temps plein,33.36
109,79,2025-12-17,,Cadre,RH,CDI,Temps plein,29.36
110,80,2017-07-06,,Agent de maîtrise,IT,CDI,Temps plein,25.15
111,81,2020-04-15,,Cadre,Commercial,CDD,Temps partiel,21.54
112,82,2025-06-21,,Employé,Direction,CDI,Temps plein,16.19
113,83,2023-09-02,,Cadre,Production,CDI,Temps plein,25.01
114,84,2019-10-19,,Employé,Commercial,CDI,Temps plein,24.0
115,85,2016-10-12,,Employé,Finance,CDD,Temps plein,15.64
116,86,2018-12-22,,Agent de maîtrise,Direction,CDD,Temps plein,18.7
117,87,2019-08-22,,Employé,IT,CDI,Temps partiel,31.0
118,88,2023-01-24,,Employé,Commercial,CDD,Temps partiel,22.92
119,89,2024-09-22,2025-08-18,Agent de maîtrise,Production,CDD,Temps plein,28.59
120,89,2025-08-19,2026-06-15,Agent de maîtrise,RH,CDI,Temps plein,14.61
121,89,2026-06-16,,Cadre,Direction,CDI,Temps plein,33.22
122,90,2017-06-21,,Agent de maîtrise,Commercial,CDI,Temps partiel,20.38
123,91,2020-08-22,2021-11-15,Employé,Finance,CDD,Temps plein,28.11
124,91,2021-11-16,,Employé,Direction,CDD,Temps plein,29.49
125,92,2016-09-25,,Cadre,Production,CDD,Temps plein,28.15
126,93,2023-07-26,,Employé,IT,CDI,Temps partiel,16.55
127,94,2024-09-24,2026-01-17,Employé,Production,CDD,Temps plein,25.36
128,94,2026-01-18,2027-03-14,Agent de maîtrise,IT,CDI,Temps plein,21.48
129,94,2027-03-15,,Cadre,Direction,CDI,Temps plein,30.54
130,95,2021-08-05,2022-10-29,Agent de maîtrise,Direction,CDD,Temps plein,21.68
131,95,2022-10-30,2023-05-28,Agent de maîtrise,Finance,CDI,Temps partiel,34.68
132,95,2023-05-29,,Cadre,Direction,CDI,Temps plein,29.66
133,96,2025-10-26,,Agent de maîtrise,Finance,CDI,Temps partiel,20.72
134,97,2016-12-18,,Agent de maîtrise,RH,CDI,Temps plein,26.99
135,98,2024-12-10,2025-09-06,Agent de maîtrise,RH,CDD,Temps plein,29.36
136,98,2025-09-07,2026-10-02,Agent de maîtrise,Commercial,CDI,Temps plein,30.92
137,98,2026-10-03,,Cadre,Direction,CDI,Temps plein,16.24
138,99,2018-08-25,,Employé,Production,CDI,Temps plein,33.53
139,100,2022-02-01,2023-04-27,Employé,Commercial,CDD,Temps plein,32.05
140,100,2023-04-28,,Employé,Production,CDI,Temps plein,16.9
141,101,2020-10-30,2022-01-23,Cadre,Direction,CDD,Temps plein,25.7
142,101,2022-01-24,2022-12-20,Cadre,Finance,CDD,Temps partiel,23.93
143,101,2022-12-21,,Cadre,Commercial,CDI,Temps partiel,32.22
144,102,2021-12-25,,Employé,Direction,CDI,Temps partiel,33.65
145,103,2019-11-25,,Agent de maîtrise,Commercial,CDI,Temps plein,18.81
146,104,2020-08-10,,Employé,Finance,CDI,Temps plein,28.24
147,105,2023-08-16,,Agent de maîtrise,Commercial,CDI,Temps plein,14.98
148,106,2022-06-21,,Employé,IT,CDD,Temps plein,20.46
149,107,2020-10-23,,Employé,Production,CDI,Temps plein,25.82
150,108,2022-11-18,2023-10-14,Cadre,Commercial,CDD,Temps plein,32.9
151,108,2023-10-15,,Cadre,Finance,CDD,Temps plein,34.99
152,109,2017-10-07,,Agent de maîtrise,RH,CDI,Temps plein,17.41
153,110,2017-11-27,,Employé,IT,CDI,Temps plein,17.93
154,111,2026-05-09,,Employé,RH,CDI,Temps plein,29.49
155,112,2020-10-08,,Employé,Commercial,CDI,Temps plein,17.0
156,113,2017-01-14,2017-10-11,Employé,Finance,CDD,Temps plein,31.15
157,113,2017-10-12,2018-12-06,Employé,Direction,CDI,Temps plein,30.88
158,113,2018-12-07,,Employé,RH,CDI,Temps plein,15.77
159,114,2017-12-13,2019-04-07,Cadre,Production,CDD,Temps partiel,23.99
160,114,2019-04-08,2020-07-31,Cadre,Production,CDI,Temps plein,26.46
161,114,2020-08-01,,Cadre,RH,CDI,Temps plein,23.57
162,115,2023-03-13,2024-05-06,Employé,IT,CDD,Temps plein,12.15
163,115,2024-05-07,2025-09-29,Agent de maîtrise,Direction,CDD,Temps plein,30.68
164,115,2025-09-30,,Cadre,IT,CDD,Temps plein,33.11
165,116,2016-11-23,2017-10-19,Employé,RH,CDD,Temps plein,21.06
166,116,2017-10-20,,Employé,RH,CDI,Temps plein,28.0
167,117,2021-07-22,,Cadre,Production,CDI,Temps partiel,29.44
168,118,2020-03-10,,Employé,Production,CDI,Temps plein,28.13
169,119,2023-06-14,,Employé,Production,CDI,Temps plein,31.72
170,120,2019-09-07,,Cadre,IT,CDI,Temps partiel,27.89
171,121,2022-10-10,,Employé,IT,CDD,Temps partiel,32.67
172,122,2017-06-17,,Employé,Commercial,CDI,Temps plein,16.67
173,123,2020-08-16,,Agent de maîtrise,Commercial,CDI,Temps plein,15.64
174,124,2024-12-21,,Cadre,Direction,CDI,Temps plein,20.75
175,125,2017-04-16,2017-10-13,Cadre,Production,CDD,Temps plein,17.25
176,125,2017-10-14,,Cadre,RH,CDD,Temps partiel,21.05
177,126,2025-10-06,2026-07-03,Employé,Finance,CDD,Temps plein,33.64
178,126,2026-07-04,2027-03-01,Employé,Commercial,CDI,Temps plein,26.18
179,126,2027-03-02,,Employé,Direction,CDI,Temps plein,15.45
180,127,2018-11-26,,Employé,RH,CDI,Temps plein,14.0
181,128,2024-03-04,,Agent de maîtrise,IT,CDD,Temps plein,21.84
182,129,2025-04-10,,Employé,IT,CDD,Temps plein,14.03
183,130,2018-04-27,,Cadre,Direction,CDD,Temps plein,29.89
